Period,Alcohol Type,Alcohol Sub Type,Alcohol Content,Clearance Origin,Value,Measure Type,Unit,Marker
year/2002,wine,Still,up to 15% abv,All,10325729.02,clearances,hectolitres,
year/2002,wine,Sparkling,up to 15% abv,All,571022.21,clearances,hectolitres,
year/2002,wine,All,over 15% abv,All,320254.98,clearances,hectolitres,
year/2002,wine,All,over 5.5% abv,Ex-ship,2670943.37,clearances,hectolitres,
year/2002,wine,All,over 5.5% abv,Ex-warehouse,8534785.34,clearances,hectolitres,
year/2002,wine,All,over 5.5% abv,UK Origin,11277.5,clearances,hectolitres,
year/2002,wine,All,All,All,11217006.21,clearances,hectolitres,
year/2002,wine,All,All,All,1943.0,wine-duty-receipts,gbp-million,
year/2002,wine,All,All,All,7211.0,alcohol-duty-receipts,gbp-million,
year/2003,wine,Still,up to 15% abv,All,10661812.01,clearances,hectolitres,
year/2003,wine,Sparkling,up to 15% abv,All,632941.74,clearances,hectolitres,
year/2003,wine,All,over 15% abv,All,293087.22,clearances,hectolitres,
year/2003,wine,All,over 5.5% abv,Ex-ship,2930229.55,clearances,hectolitres,
year/2003,wine,All,over 5.5% abv,Ex-warehouse,8644151.76,clearances,hectolitres,
year/2003,wine,All,over 5.5% abv,UK Origin,13459.65,clearances,hectolitres,
year/2003,wine,All,All,All,11587840.96,clearances,hectolitres,
year/2003,wine,All,All,All,1963.0,wine-duty-receipts,gbp-million,
year/2003,wine,All,All,All,7473.0,alcohol-duty-receipts,gbp-million,
year/2004,wine,Still,up to 15% abv,All,11762464.97,clearances,hectolitres,
year/2004,wine,Sparkling,up to 15% abv,All,667979.55,clearances,hectolitres,
year/2004,wine,All,over 15% abv,All,294418.85,clearances,hectolitres,
year/2004,wine,All,over 5.5% abv,Ex-ship,3674386.51,clearances,hectolitres,
year/2004,wine,All,over 5.5% abv,Ex-warehouse,9036296.88,clearances,hectolitres,
year/2004,wine,All,over 5.5% abv,UK Origin,14179.97,clearances,hectolitres,
year/2004,wine,All,All,All,12724863.36,clearances,hectolitres,
year/2004,wine,All,All,All,2180.0,wine-duty-receipts,gbp-million,
year/2004,wine,All,All,All,7799.0,alcohol-duty-receipts,gbp-million,
year/2005,wine,Still,up to 15% abv,All,12139448.22,clearances,hectolitres,
year/2005,wine,Sparkling,up to 15% abv,All,712724.74,clearances,hectolitres,
year/2005,wine,All,over 15% abv,All,302388.79,clearances,hectolitres,
year/2005,wine,All,over 5.5% abv,Ex-ship,3829564.49,clearances,hectolitres,
year/2005,wine,All,over 5.5% abv,Ex-warehouse,9311438.23,clearances,hectolitres,
year/2005,wine,All,over 5.5% abv,UK Origin,13559.04,clearances,hectolitres,
year/2005,wine,All,All,All,13154561.75,clearances,hectolitres,
year/2005,wine,All,All,All,2317.0,wine-duty-receipts,gbp-million,
year/2005,wine,All,All,All,7969.3,alcohol-duty-receipts,gbp-million,
year/2006,wine,Still,up to 15% abv,All,11663073.5,clearances,hectolitres,
year/2006,wine,Sparkling,up to 15% abv,All,706419.32,clearances,hectolitres,
year/2006,wine,All,over 15% abv,All,297983.81,clearances,hectolitres,
year/2006,wine,All,over 5.5% abv,Ex-ship,3790874.5,clearances,hectolitres,
year/2006,wine,All,over 5.5% abv,Ex-warehouse,8862064.1,clearances,hectolitres,
year/2006,wine,All,over 5.5% abv,UK Origin,14538.04,clearances,hectolitres,
year/2006,wine,All,All,All,12667476.64,clearances,hectolitres,
year/2006,wine,All,All,All,2356.0,wine-duty-receipts,gbp-million,
year/2006,wine,All,All,All,7813.0,alcohol-duty-receipts,gbp-million,
year/2007,wine,Still,up to 15% abv,All,12578475.02,clearances,hectolitres,
year/2007,wine,Sparkling,up to 15% abv,All,829692.97,clearances,hectolitres,
year/2007,wine,All,over 15% abv,All,301944.13,clearances,hectolitres,
year/2007,wine,All,over 5.5% abv,Ex-ship,4237413.96,clearances,hectolitres,
year/2007,wine,All,over 5.5% abv,Ex-warehouse,9454029.74,clearances,hectolitres,
year/2007,wine,All,over 5.5% abv,UK Origin,18668.41,clearances,hectolitres,
year/2007,wine,All,All,All,13710112.12,clearances,hectolitres,
